mission_id,frame,label_idx,prediction_idx,position_error_m,axis_error_deg,sync_offset_frame
F1,1,0,0,0.722302964550457,18.57257602756235,False
F1,2,0,0,0.3136268498918747,14.471053841073854,False
F1,2,1,1,0.27551277588163375,11.610663353769553,False
F1,2,2,3,0.12369308049913454,7.968834934308944,False
F1,2,3,2,0.6844301428879805,4.091758050321687,False
F1,3,0,0,0.2940597690377978,30.718581582892398,False
F1,3,1,1,0.5216036267636543,14.959437242877243,False
F1,3,2,3,0.0926145437381843,2.4052543005374787,False
F1,3,3,2,0.2908999582334775,9.635782651450938,False
F1,4,0,0,0.6217250059201208,0.8437766514785494,False
F1,4,1,1,0.2410391150385211,19.596201284052427,False
F1,4,2,3,0.14411291796108033,12.029388361817126,False
F1,4,3,2,0.4559490994010043,21.707299723909273,False
F1,5,0,0,0.6444012868727557,9.633976469926239,False
F1,5,1,1,0.2554381228884653,8.914505729917238,False
F1,5,2,3,0.26324059060790633,4.726945317165828,False
F1,5,3,2,0.21376841533736396,7.8834877691109,False
F1,6,0,0,0.17545046635727163,32.520966007680045,False
F1,6,1,1,0.16449881998113938,3.3936953492851387,False
F1,6,2,3,0.19366903552749498,7.163653146396598,False
F1,6,3,2,0.17589272226876193,21.401240051327875,False
F1,7,0,0,0.27500966285098305,15.859043605325013,False
F1,7,1,1,0.04227817130731891,3.0191140360001043,False
F1,7,2,3,0.1475158827027569,25.020555784964415,False
F1,7,3,2,0.10991061588714804,4.696078419121221,False
F1,8,0,1,0.1957109245973956,26.65664614587081,False
F1,8,1,0,0.141898053790302,5.747930508637694,False
F1,8,2,3,0.1615587409525708,28.354523523809775,False
F1,8,3,2,0.21672721025802294,6.238447012713891,False
F1,9,0,3,0.1370807529776491,26.71571249828071,False
F1,9,1,0,0.19573331368784314,12.941614998495993,False
F1,9,2,2,0.453646277047209,20.531457280233923,False
F1,9,3,1,0.29954783423718784,10.426033459894484,False
F1,10,0,3,0.22330249469131302,28.196923281176794,False
F1,10,1,0,0.22812297670372672,13.238167323551977,False
F1,10,2,1,0.3047554889467956,18.32842550611889,False
F1,10,3,2,0.23996020066894377,28.026482466099765,False
F1,11,1,0,0.5291960469274011,13.844195525218879,False
F1,11,2,1,0.07238300657814567,16.88951628307865,False
F1,11,3,2,0.22862496664584386,10.642200037679032,False
F1,12,0,2,0.1735670685300799,17.80342553153787,False
F1,12,1,1,0.3102283806819039,6.017630997127128,False
F1,12,2,0,0.8709968766579602,0.6883633226795496,False
F1,12,3,3,0.22734193068672212,38.72011160675919,False
F1,13,0,2,0.28249452017546384,42.68568644001988,False
F1,13,1,0,0.21250835341260282,12.177834032922874,False
F1,13,2,3,0.19333632015416896,22.794612841428716,False
F1,13,3,1,0.1468372881656859,3.3858930619110197,False
F1,14,0,1,0.3415156177969747,13.938660161360815,False
F1,14,1,3,0.15079924152649596,11.254099630578537,False
F1,14,2,0,0.17133233394543848,11.609026173130644,False
F1,14,3,2,0.35300928457265224,8.131293521390575,False
F1,15,0,2,0.2349749917690696,9.779870470814842,False
F1,15,1,0,0.24601328566230043,6.28955285572863,False
F1,15,2,3,0.10460144071889078,22.085174212014238,False
F1,15,3,1,0.43134507211830975,19.531414218400414,False
F1,16,0,1,0.3732691681521598,12.56885758059218,False
F1,16,1,3,0.10739858123794882,21.861544112978663,False
F1,16,2,0,0.203150920929616,6.5792001124792705,False
F1,16,3,2,0.2973917427139839,11.312723032397685,False
F1,17,0,2,0.2127902421612492,11.664381260906197,False
F1,17,1,0,0.26364094404226446,21.26958665578445,False
F1,17,2,3,0.3009449375086857,11.430141250014486,False
F1,17,3,1,0.4880921557120241,16.77388539631488,False
F1,18,0,2,0.07344686946274794,6.016118577931621,False
F1,18,1,0,0.21287155801221494,10.56236384343913,False
F1,18,2,3,0.27329937083546757,15.223811468652315,False
F1,18,3,1,0.321691388335239,22.74471112003428,False
F1,19,0,0,0.25529258132744986,26.02239490181023,False
F1,19,1,2,0.09533340910191553,1.115049522629846,False
F1,19,2,3,0.092772617505278,6.662280384820974,False
F1,19,3,1,0.6658109465107168,2.667665162603811,False
F1,20,0,1,0.10730408635137859,7.452781808189371,False
F1,20,1,3,0.08873755178105877,7.1491732886016734,False
F1,20,2,2,0.1353248625882413,7.224850603124423,False
F1,20,3,0,0.2729087151417018,26.760827436628745,False
F1,21,0,0,0.35177986719948073,22.12552071713131,False
F1,21,1,2,0.19155334096376578,5.35389002682507,False
F1,21,2,3,0.08863360025722986,1.866661580296352,False
F1,21,3,1,0.2747736549994307,21.55019224978605,False
F1,22,0,1,0.09404077707508733,33.587226001602176,False
F1,22,1,3,0.1414077036197877,7.638179098280176,False
F1,22,2,2,0.14629214970281298,19.272883585444248,False
F1,22,3,0,0.47453322655818386,16.733777487047604,False
F1,23,0,0,0.3929271798982809,16.71285032155194,False
F1,23,1,2,0.2415136772338477,9.61669640146377,False
F1,23,2,3,0.1804473956481703,19.15455566895858,False
F1,23,3,1,0.2592177996718996,9.182729036159799,False
F1,24,0,1,0.33617223195550305,8.298833190015188,False
F1,24,1,3,0.20935226991446446,17.546563011242313,False
F1,24,2,2,0.18693115553580306,27.071596320605806,False
