mission_id,t_rel_s,drone_idx,rung_altitude_m,closest_animal_distance_m,d_min_required_m,margin_m,deficit_m,compliant
F1,222.0,0,30.0,64.82134865104764,60.0,4.821348651047643,0.0,True
F1,222.0,1,45.0,60.25214235061283,60.0,0.25214235061282864,0.0,True
F1,230.0,0,30.0,64.34332792654888,60.0,4.343327926548881,0.0,True
F1,230.0,1,45.0,60.25933774733337,60.0,0.2593377473333689,0.0,True
F1,238.2,0,30.0,64.55646285043855,60.0,4.55646285043855,0.0,True
F1,238.2,1,45.0,61.569367079014405,60.0,1.5693670790144054,0.0,True
F1,246.4,0,30.0,65.26165479169529,60.0,5.2616547916952925,0.0,True
F1,246.4,1,45.0,61.5369026339275,60.0,1.5369026339274967,0.0,True
F1,254.6,0,30.0,65.06468180285945,60.0,5.064681802859454,0.0,True
F1,254.6,1,45.0,61.972768960721794,60.0,1.972768960721794,0.0,True
F1,262.8,0,30.0,64.96424491633863,60.0,4.964244916338629,0.0,True
F1,262.8,1,45.0,61.88581601170611,60.0,1.8858160117061118,0.0,True
F1,271.0,0,30.0,64.7159166128488,60.0,4.715916612848801,0.0,True
F1,271.0,1,45.0,61.81666205409796,60.0,1.8166620540979608,0.0,True
F1,279.0,0,30.0,64.4213721515381,60.0,4.421372151538094,0.0,True
F1,279.0,1,45.0,61.58661859778824,60.0,1.586618597788238,0.0,True
F1,287.2,0,30.0,63.25691760169692,60.0,3.2569176016969195,0.0,True
F1,287.2,1,45.0,62.055146356383744,60.0,2.0551463563837444,0.0,True
F1,295.2,0,30.0,63.16481477297774,60.0,3.164814772977742,0.0,True
F1,295.2,1,45.0,61.9313192990522,60.0,1.9313192990521983,0.0,True
F1,303.4,0,30.0,61.35287115121197,60.0,1.3528711512119713,0.0,True
F1,303.4,1,45.0,60.858629028470254,60.0,0.8586290284702542,0.0,True
F1,311.6,0,30.0,61.24974630912837,60.0,1.2497463091283691,0.0,True
F1,311.6,1,45.0,60.793560395645116,60.0,0.793560395645116,0.0,True
F1,319.8,0,30.0,60.47332165728129,60.0,0.4733216572812893,0.0,True
F1,319.8,1,45.0,60.54061900426795,60.0,0.5406190042679526,0.0,True
F1,327.8,0,30.0,61.00813972681689,60.0,1.0081397268168928,0.0,True
F1,327.8,1,45.0,60.18152745443225,60.0,0.18152745443224916,0.0,True
F1,335.8,0,30.0,61.18126694887801,60.0,1.1812669488780116,0.0,True
F1,335.8,1,45.0,60.30107020889168,60.0,0.3010702088916801,0.0,True
F1,343.8,0,30.0,61.611623811691224,60.0,1.6116238116912243,0.0,True
F1,343.8,1,45.0,60.91531530804036,60.0,0.9153153080403627,0.0,True
F1,352.0,0,30.0,61.70646369522991,60.0,1.7064636952299068,0.0,True
F1,352.0,1,45.0,60.97759593072058,60.0,0.9775959307205824,0.0,True
F1,360.0,0,30.0,61.769019697497136,60.0,1.7690196974971357,0.0,True
F1,360.0,1,45.0,61.11397293523133,60.0,1.113972935231331,0.0,True
F1,368.2,0,30.0,61.47589579862659,60.0,1.4758957986265884,0.0,True
F1,368.2,1,45.0,61.688211942494796,60.0,1.688211942494796,0.0,True
F1,376.4,0,30.0,60.93225533442006,60.0,0.9322553344200628,0.0,True
F1,376.4,1,45.0,62.20164444395299,60.0,2.2016444439529934,0.0,True
F1,384.4,0,30.0,61.060550282231816,60.0,1.0605502822318158,0.0,True
F1,384.4,1,45.0,61.62123330952815,60.0,1.6212333095281508,0.0,True
F1,392.6,0,30.0,62.795956391878136,60.0,2.7959563918781356,0.0,True
F1,392.6,1,45.0,61.33577211221129,60.0,1.3357721122112878,0.0,True
F1,400.8,0,30.0,63.1397814989418,60.0,3.139781498941801,0.0,True
F1,400.8,1,45.0,61.10220929535103,60.0,1.102209295351031,0.0,True
F1,409.0,0,30.0,63.1802753220604,60.0,3.180275322060403,0.0,True
F1,409.0,1,45.0,62.17949677226827,60.0,2.1794967722682728,0.0,True
F1,417.0,0,30.0,63.36333541729608,60.0,3.363335417296078,0.0,True
F1,417.0,1,45.0,61.95253049520591,60.0,1.952530495205913,0.0,True
F1,425.2,0,30.0,62.15360932551305,60.0,2.1536093255130524,0.0,True
F1,425.2,1,45.0,62.38380234772588,60.0,2.383802347725883,0.0,True
F1,433.4,0,30.0,62.37721059569444,60.0,2.377210595694443,0.0,True
F1,433.4,1,45.0,62.45154741463251,60.0,2.4515474146325076,0.0,True
F1,441.4,0,30.0,62.02097623920005,60.0,2.0209762392000528,0.0,True
F1,441.4,1,45.0,62.221484754869195,60.0,2.221484754869195,0.0,True
F1,449.6,0,30.0,61.679042022966954,60.0,1.6790420229669536,0.0,True
F1,449.6,1,45.0,62.61920970928439,60.0,2.619209709284391,0.0,True
F1,457.8,0,30.0,61.76005914750204,60.0,1.7600591475020408,0.0,True
F1,457.8,1,45.0,62.519906416988604,60.0,2.5199064169886043,0.0,True
F1,465.8,0,30.0,61.65879682094839,60.0,1.658796820948389,0.0,True
F1,465.8,1,45.0,62.56320051369911,60.0,2.5632005136991083,0.0,True
F1,474.0,0,30.0,61.417473744696146,60.0,1.4174737446961458,0.0,True
F1,474.0,1,45.0,62.56894520906014,60.0,2.5689452090601392,0.0,True
F1,482.2,0,30.0,61.26980756687164,60.0,1.2698075668716413,0.0,True
F1,482.2,1,45.0,62.3425882541886,60.0,2.3425882541885983,0.0,True
F1,490.4,0,30.0,61.19844166918902,60.0,1.1984416691890232,0.0,True
F1,490.4,1,45.0,62.38742625989881,60.0,2.3874262598988096,0.0,True
F1,498.4,0,30.0,61.1720296066343,60.0,1.1720296066342968,0.0,True
F1,498.4,1,45.0,62.27835127861778,60.0,2.2783512786177766,0.0,True
F1,506.6,0,30.0,61.189399755398576,60.0,1.1893997553985756,0.0,True
F1,506.6,1,45.0,62.34238426951311,60.0,2.3423842695131114,0.0,True
F1,514.8,0,30.0,60.89580588268072,60.0,0.8958058826807189,0.0,True
F1,514.8,1,45.0,62.00765507753458,60.0,2.0076550775345794,0.0,True
F1,522.8,0,30.0,61.12066938499012,60.0,1.1206693849901228,0.0,True
F1,522.8,1,45.0,62.01416641250034,60.0,2.0141664125003373,0.0,True
F1,530.8,0,30.0,60.0485424006932,60.0,0.048542400693200705,0.0,True
F1,530.8,1,45.0,63.2201636588055,60.0,3.2201636588054967,0.0,True
F2,155.3,0,30.0,54.13469676077082,60.0,-5.865303239229178,5.865303239229178,False
F2,155.3,1,45.0,66.10652287397171,60.0,6.106522873971713,0.0,True
F2,155.3,2,60.0,67.2726494047873,60.0,7.272649404787302,0.0,True
F2,165.5,0,30.0,57.212824702147074,60.0,-2.787175297852926,2.787175297852926,False
F2,165.5,1,45.0,65.3741367681973,60.0,5.374136768197303,0.0,True
F2,165.5,2,60.0,67.28202550142171,60.0,7.282025501421714,0.0,True
F2,175.5,0,30.0,55.20445341287733,60.0,-4.795546587122672,4.795546587122672,False
F2,175.5,1,45.0,62.10313655353008,60.0,2.103136553530078,0.0,True
F2,175.5,2,60.0,67.49034088164433,60.0,7.490340881644329,0.0,True
F2,185.5,0,30.0,59.70570518436329,60.0,-0.2942948156367109,0.2942948156367109,False
F2,185.5,1,45.0,62.65744438735421,60.0,2.657444387354211,0.0,True
F2,185.5,2,60.0,71.5958295861958,60.0,11.595829586195805,0.0,True
F2,275.5,0,30.0,65.10640588648246,60.0,5.106405886482463,0.0,True
F2,275.5,1,45.0,64.76720820832705,60.0,4.767208208327048,0.0,True
F2,275.5,2,60.0,60.05042738443753,60.0,0.05042738443753336,0.0,True
F2,284.1,0,30.0,65.58035159044981,60.0,5.580351590449808,0.0,True
F2,284.1,1,45.0,66.84453754560607,60.0,6.844537545606073,0.0,True
F2,284.1,2,60.0,60.29505357657479,60.0,0.29505357657478726,0.0,True
F2,292.3,0,30.0,65.54498543778445,60.0,5.544985437784447,0.0,True
F2,292.3,1,45.0,67.34024450233638,60.0,7.340244502336375,0.0,True
