mission_id,gt_frame,t_rel_s,animal_idx,lat,lon,drone_idx,surface,visible_fraction,on_target_herd
F1,9,222.0,0,-0.003366145723581855,36.881932703901164,0,left_flank,0.1875,True
F1,9,222.0,0,-0.003366145723581855,36.881932703901164,0,dorsal,1.0,True
F1,9,222.0,0,-0.003366145723581855,36.881932703901164,0,right_flank,0.0,True
F1,9,222.0,0,-0.003366145723581855,36.881932703901164,1,left_flank,0.0,True
F1,9,222.0,0,-0.003366145723581855,36.881932703901164,1,dorsal,1.0,True
F1,9,222.0,0,-0.003366145723581855,36.881932703901164,1,right_flank,1.0,True
F1,9,222.0,1,-0.0033645433385501434,36.88194936065653,0,left_flank,1.0,True
F1,9,222.0,1,-0.0033645433385501434,36.88194936065653,0,dorsal,1.0,True
F1,9,222.0,1,-0.0033645433385501434,36.88194936065653,0,right_flank,0.0,True
F1,9,222.0,1,-0.0033645433385501434,36.88194936065653,1,left_flank,0.0,True
F1,9,222.0,1,-0.0033645433385501434,36.88194936065653,1,dorsal,1.0,True
F1,9,222.0,1,-0.0033645433385501434,36.88194936065653,1,right_flank,0.5625,True
F1,9,222.0,2,-0.0033382139619252496,36.88198632975598,0,left_flank,0.0,True
F1,9,222.0,2,-0.0033382139619252496,36.88198632975598,0,dorsal,1.0,True
F1,9,222.0,2,-0.0033382139619252496,36.88198632975598,0,right_flank,1.0,True
F1,9,222.0,2,-0.0033382139619252496,36.88198632975598,1,left_flank,1.0,True
F1,9,222.0,2,-0.0033382139619252496,36.88198632975598,1,dorsal,1.0,True
F1,9,222.0,2,-0.0033382139619252496,36.88198632975598,1,right_flank,0.0,True
F1,9,222.0,3,-0.0033907520318666113,36.881959779931904,0,left_flank,1.0,True
F1,9,222.0,3,-0.0033907520318666113,36.881959779931904,0,dorsal,1.0,True
F1,9,222.0,3,-0.0033907520318666113,36.881959779931904,0,right_flank,0.0,True
F1,9,222.0,3,-0.0033907520318666113,36.881959779931904,1,left_flank,0.0,True
F1,9,222.0,3,-0.0033907520318666113,36.881959779931904,1,dorsal,1.0,True
F1,9,222.0,3,-0.0033907520318666113,36.881959779931904,1,right_flank,1.0,True
F1,10,230.0,0,-0.00336582557454304,36.88193420782292,0,left_flank,0.25,True
F1,10,230.0,0,-0.00336582557454304,36.88193420782292,0,dorsal,1.0,True
F1,10,230.0,0,-0.00336582557454304,36.88193420782292,0,right_flank,0.0,True
F1,10,230.0,0,-0.00336582557454304,36.88193420782292,1,left_flank,0.0,True
F1,10,230.0,0,-0.00336582557454304,36.88193420782292,1,dorsal,1.0,True
F1,10,230.0,0,-0.00336582557454304,36.88193420782292,1,right_flank,1.0,True
F1,10,230.0,1,-0.0033671160563628483,36.881947633178214,0,left_flank,1.0,True
