behaviour,best_trial_id,w,c1,c2,median_monitoring_quality,n_trials
grazing,70,0.6838317393009533,2.277415067521581,0.6861369756092809,0.25557318719881117,100
travelling,96,0.6051832802087631,2.4458507631543926,0.5345229191177149,0.28525353979044743,100
panic,55,0.6704773927594765,2.1072376991575235,0.6664751563952581,0.19486076252955392,100
