behaviour,trial_id,loss,median_monitoring_quality,w,c1,c2,eval_time_s,timestamp
grazing,1,-0.2097007031748464,0.2097007031748464,0.2104462567901514,1.8022310229967529,2.3852974627046217,1210.0495569705963,20260717_164443
grazing,2,-0.2295632595502836,0.2295632595502836,0.7615794878582123,1.496664902936798,1.0946311231063008,1207.1582236289978,20260717_170456
grazing,3,-0.1665203385250205,0.1665203385250205,0.6855360834722528,0.0872807573577351,1.8370916031584812,1213.9239330291748,20260717_172516
grazing,4,-0.2269025091872009,0.2269025091872009,0.731899879071056,1.6401752083949723,0.1820043684423737,1137.8705341815948,20260717_174420
grazing,5,-0.2452939976515225,0.2452939976515225,0.7815582735985499,1.5236260065235254,0.4463206312422917,1197.0219359397888,20260717_180423
grazing,6,-0.1878769769827621,0.1878769769827621,0.237667924323923,0.235479576839733,2.5301990087343094,1213.5030212402344,20260717_182443
grazing,7,-0.2125422885606341,0.2125422885606341,0.3268056860702283,1.4433288108001558,0.6314160519405995,1195.246755361557,20260717_184445
grazing,8,-0.1344317254910655,0.1344317254910655,0.9754589851701008,0.6537839262579849,1.2528078757134482,1159.339742898941,20260717_190410
grazing,9,-0.1724621444311563,0.1724621444311563,0.7899090476756414,0.3659617638159983,1.906030941430124,1205.0720281600952,20260717_192422
grazing,10,-0.240612559533743,0.240612559533743,0.5722375401636746,1.6575633770432865,0.7157032200387781,1212.585788011551,20260717_194440
grazing,11,-0.1778405792859363,0.1778405792859363,0.5851813418356973,0.8270110077350333,2.959390384619092,1217.099259376526,20260717_200504
grazing,12,-0.2231571395890314,0.2231571395890314,0.3969494153146463,1.476691506334526,0.7162821869997522,1209.2822070121765,20260717_202520
grazing,13,-0.1811802731674842,0.1811802731674842,0.2493057525791197,0.1312509534396471,2.8830081082238848,1222.342929840088,20260717_204549
grazing,14,-0.2200009820544014,0.2200009820544014,0.0001395804181746,0.4908333057695845,2.8838520321611334,1228.614815711975,20260717_210624
grazing,15,-0.2206967011728133,0.2206967011728133,0.7908584766716169,0.7241570501071699,0.6222442652895726,1199.0000307559967,20260717_212629
grazing,16,-0.1728756655113932,0.1728756655113932,0.2970236850891026,0.0410087025722346,2.8979061105144037,1220.3500397205353,20260717_214656
grazing,17,-0.1778451031236499,0.1778451031236499,0.7905855164967612,1.9099864857467777,1.759986837925592,1186.25825548172,20260717_220648
grazing,18,-0.1706051855132943,0.1706051855132943,0.2544550968454356,0.0133149743608421,2.8584919546593635,1218.775175333023,20260717_222713
grazing,19,-0.241712607971458,0.241712607971458,0.3619355580694345,2.850504000564207,1.2293566182628548,1208.3177978992462,20260717_224728
grazing,20,-0.1845823823331521,0.1845823823331521,0.6389176853225987,2.3357488944763563,1.9152834026355108,1180.8192398548126,20260717_230716
grazing,21,-0.2432264768913126,0.2432264768913126,0.8136356585705679,1.3702490430006835,0.5024620021417873,1203.306128740311,20260717_232726
grazing,22,-0.1498890706189767,0.1498890706189767,0.4643143163765269,1.3260292465058396,0.0883568119526119,1117.208572626114,20260717_234610
grazing,23,-0.234378821265362,0.234378821265362,0.8375866001215735,1.1450101228139555,0.6070405428312031,1200.1929984092712,20260718_000616
grazing,24,-0.2199584991613055,0.2199584991613055,0.9063742444650896,1.1691255604291029,0.6067748063341081,1185.268683195114,20260718_002608
grazing,25,-0.2080263738950584,0.2080263738950584,0.4325284561092789,1.7064997796692054,0.3219516543402584,1164.083976507187,20260718_004539
grazing,26,-0.1338182522936243,0.1338182522936243,0.8517046633334021,2.9573633549673364,1.023632186782521,1132.2669594287872,20260718_010439
grazing,27,-0.2277802246136112,0.2277802246136112,0.7173937071262543,1.1861475996076538,0.8930536334741775,1214.483475446701,20260718_012459
grazing,28,-0.2258244116604763,0.2258244116604763,0.7076997319936674,1.080361375580284,1.0226775675553748,1206.1973083019257,20260718_014512
grazing,29,-0.2328919668344814,0.2328919668344814,0.7436691119561671,1.1313042824965809,0.3069495278010073,1187.054149866104,20260718_020506
grazing,30,-0.2291245976939509,0.2291245976939509,0.725350401357482,1.078383339544272,0.2890877873551184,1184.6128857135773,20260718_022458
grazing,31,-0.2393390228277595,0.2393390228277595,0.8208615131431205,1.0586227863921167,0.3894933684074761,1200.719205617905,20260718_024506
grazing,32,-0.237150981112152,0.237150981112152,0.8544925535067657,1.0123743526099993,0.3569892935936858,1194.6802365779877,20260718_030507
grazing,33,-0.2336381221037277,0.2336381221037277,0.8900991293899838,0.9089315353945264,0.3905259759906168,1195.8343727588654,20260718_032509
grazing,34,-0.2318948004991735,0.2318948004991735,0.8864379603691246,0.9213035457673996,0.4584500567838473,1201.4098522663116,20260718_034517
grazing,35,-0.2339208280535626,0.2339208280535626,0.8576742285846812,0.9730168851249076,0.4124712222070006,1193.390468597412,20260718_040518
grazing,36,-0.2063927478746833,0.2063927478746833,0.950925466742962,0.9440797991108056,0.4349170601198657,1178.162338733673,20260718_042503
grazing,37,-0.2019281386572812,0.2019281386572812,0.8900929367098025,1.9616161830813037,0.4888973193618783,1153.8649854660034,20260718_044423
grazing,38,-0.2421263675446794,0.2421263675446794,0.8390464837941721,1.2620748062666214,0.2952869684576034,1182.435438156128,20260718_050413
grazing,39,-0.1987652980691103,0.1987652980691103,0.8276419873717678,1.3223987471758756,0.0939047162768894,1125.201098203659,20260718_052305
grazing,40,-0.2180769431574119,0.2180769431574119,0.8472220432860768,0.9616529217357712,0.7840347838824868,1208.2947845458984,20260718_054320
grazing,41,-0.2161533013544106,0.2161533013544106,0.9257982871526366,1.299469359926915,0.4239175540297292,1170.5502786636353,20260718_060257
grazing,42,-0.2393919940833869,0.2393919940833869,0.836461457857811,1.5660941603028116,0.2525323376151408,1173.6068713665009,20260718_062239
grazing,43,-0.2302206767618088,0.2302206767618088,0.8320694521141553,1.5133046684028757,0.1760548321175387,1139.664702653885,20260718_064145
grazing,44,-0.2329387284910995,0.2329387284910995,0.5485415125846553,1.5725040668205217,0.56476596531628,1205.359354019165,20260718_070157
grazing,45,-0.2414745846477161,0.2414745846477161,0.8102024088358516,1.357497045836292,0.2247231140258039,1166.358171224594,20260718_072130
grazing,46,-0.2351152981589957,0.2351152981589957,0.8184730493552685,1.2947040964754684,0.2163206813886276,1165.6000006198883,20260718_074102
grazing,47,-0.1432268565516624,0.1432268565516624,0.7867905269150555,1.3402134109093615,0.0255275043132988,1110.8267710208893,20260718_075940
grazing,48,-0.2395674747818157,0.2395674747818157,0.8015336179682981,1.7147753983882,0.2205445922367208,1156.880782842636,20260718_081903
grazing,49,-0.2378054547302452,0.2378054547302452,0.7761292378452175,1.7152710883888884,0.2183247332956402,1156.1737122535706,20260718_083826
grazing,50,-0.2125793293246616,0.2125793293246616,0.6466495633344064,1.732799741340324,0.1764868226873384,1138.344908475876,20260718_085731
grazing,51,-0.2399202723581145,0.2399202723581145,0.76936840434063,1.9103708850288796,0.2493162143271539,1160.2772619724274,20260718_091658
grazing,52,-0.2101412871737716,0.2101412871737716,0.772752132866814,2.074377377395297,1.3003120828569812,1193.0588665008545,20260718_093657
grazing,53,-0.1270600060074006,0.1270600060074006,0.7580924898893798,1.579236271245292,0.0127947282690448,1110.6262748241425,20260718_095534
grazing,54,-0.1939199298306496,0.1939199298306496,0.3699606103760999,1.8761699021114449,0.2499649124475318,1143.9910428524015,20260718_101445
grazing,55,-0.2433416323712677,0.2433416323712677,0.7943594053543853,1.646929011753599,0.287644949381777,1172.534254074097,20260718_103424
grazing,56,-0.2258003597505138,0.2258003597505138,0.8017909701158006,1.6703467428629084,0.1528424688804104,1130.449063539505,20260718_105322
grazing,57,-0.1786939739570973,0.1786939739570973,0.1247247867939235,1.4408640113398985,0.2888782847436865,1141.0723011493685,20260718_111230
grazing,58,-0.2494755904352441,0.2494755904352441,0.7651348097139196,1.764888497689186,0.5227565355292371,1197.3690972328186,20260718_113234
grazing,59,-0.1054047316194126,0.1054047316194126,0.999463109966704,2.8033519977731647,0.5635439554854708,1105.7789084911346,20260718_115107
grazing,60,-0.2392507207250967,0.2392507207250967,0.6707616717250033,1.414588376054486,0.8236055344400919,1205.6214773654938,20260718_121120
grazing,61,-0.2437323581286367,0.2437323581286367,0.803315205194733,1.8535096422945037,0.5049056147615605,1189.5155606269836,20260718_123117
grazing,62,-0.2477774736533977,0.2477774736533977,0.7526515839470894,2.0718874982623032,0.709932107094303,1199.8736236095428,20260718_125123
grazing,63,-0.2457775672886961,0.2457775672886961,0.7604190340248648,2.082433159209557,0.7181241103602802,1190.7360167503357,20260718_131121
grazing,64,-0.2443165661392167,0.2443165661392167,0.750782313939717,2.134359681333886,0.7133709007713757,1197.8191139698029,20260718_133126
grazing,65,-0.2517748778432847,0.2517748778432847,0.7086063157726232,2.117856505418355,0.7064002614464238,1202.8917520046234,20260718_135136
grazing,66,-0.2508239441501632,0.2508239441501632,0.7041811644981532,2.1576129326726528,0.7132418893463253,1204.6352496147156,20260718_141148
grazing,67,-0.2527668034183346,0.2527668034183346,0.6861524271546523,2.206123243613044,0.7235667450346781,1201.7732419967651,20260718_143156
grazing,68,-0.2535912048841992,0.2535912048841992,0.6850156149927438,2.2353561526684103,0.7281807426467105,1202.576599597931,20260718_145206
grazing,69,-0.2510613778995384,0.2510613778995384,0.6786496112692186,2.21565972533894,0.7085665842468716,1202.8518657684326,20260718_151216
grazing,70,-0.2555731871988111,0.2555731871988111,0.6838317393009533,2.277415067521581,0.6861369756092809,1200.0771932601929,20260718_153223
grazing,71,-0.2512383671285856,0.2512383671285856,0.6855534138571965,2.2647352149470263,0.6984251509623759,1202.0856986045835,20260718_155231
grazing,72,-0.2523754463704058,0.2523754463704058,0.6818493163574612,2.2711460875790914,0.7074465774118497,1194.6222567558289,20260718_161232
grazing,73,-0.2520250527799131,0.2520250527799131,0.6951953535547438,2.2794661410698565,0.7066940744700263,1199.136441230774,20260718_163239
grazing,74,-0.2444963504399853,0.2444963504399853,0.6862628958799057,2.406840138660032,0.899950277072056,1199.2566990852356,20260718_165246
grazing,75,-0.2505547591246434,0.2505547591246434,0.6246761709737666,2.31741830465147,0.7149394424633924,1207.124154806137,20260718_171259
grazing,76,-0.252338525485425,0.252338525485425,0.6084913560661384,2.339367357229248,0.728576690051293,1205.0159587860107,20260718_173311
grazing,77,-0.2536055127448224,0.2536055127448224,0.610729216683731,2.2966557479866485,0.7072564020042891,1203.4126062393188,20260718_175322
grazing,78,-0.2533668471857824,0.2533668471857824,0.6030676296855297,2.3515621711926222,0.6887988953810738,1205.7173635959623,20260718_181334
grazing,79,-0.2518992035712398,0.2518992035712398,0.597698042595892,2.370620404014489,0.90154412944842,1210.4981007575989,20260718_183351
grazing,80,-0.252369258567324,0.252369258567324,0.6085983297181186,2.362009972379816,0.8282491359802724,1207.357578277588,20260718_185406
grazing,81,-0.2518653536055735,0.2518653536055735,0.5933226876957186,2.477920205664314,0.904195641614252,1207.9865837097168,20260718_191422
grazing,82,-0.2515196371982414,0.2515196371982414,0.5990290909606498,2.501974514916605,0.8526235857307429,1198.3230829238892,20260718_193426
grazing,83,-0.2486344558796936,0.2486344558796936,0.5973117263865448,2.515143371595692,0.917764337165092,1205.4956228733065,20260718_195439
grazing,84,-0.252808750984831,0.252808750984831,0.5389408825343478,2.5619352698456903,0.8423899784020377,1208.3365774154663,20260718_201453
grazing,85,-0.2509801587368253,0.2509801587368253,0.5268095695187988,2.5089748649161088,0.8362181282657882,1207.81737947464,20260718_203509
grazing,86,-0.2495267472220997,0.2495267472220997,0.6050133205030596,2.46951697491024,0.983499965041826,1208.0203754901886,20260718_205524
grazing,87,-0.2408790377092608,0.2408790377092608,0.5672342510349049,2.6215793179374214,1.1758843548923934,1197.6319317817688,20260718_211527
grazing,88,-0.2471393952585374,0.2471393952585374,0.6391885255032078,2.6335287266955336,0.8119606173411639,1194.7313151359558,20260718_213530
grazing,89,-0.2440890379137638,0.2440890379137638,0.5011958414953623,2.307179350112187,0.6133177703325786,1201.304405927658,20260718_215537
grazing,90,-0.246221273883388,0.246221273883388,0.6551286505589828,2.27503043438885,0.9321748319173944,1208.545065164566,20260718_221553
grazing,91,-0.2539247303843306,0.2539247303843306,0.6166872667400722,2.3977929150447106,0.7844968539485452,1197.6719100475311,20260718_223559
grazing,92,-0.2441079647399053,0.2441079647399053,0.6166582231008234,2.398811246522395,1.099388258060714,1210.0486330986023,20260718_225615
