controller,w,c1,c2,kind
grazing,0.6838317393009533,2.277415067521581,0.6861369756092809,specialist
travelling,0.6051832802087631,2.4458507631543926,0.5345229191177149,specialist
panic,0.6704773927594765,2.1072376991575235,0.6664751563952581,specialist
generalist,0.7,1.5,1.5,default
field,0.567,2.196,0.872,deployed
