behaviour,config_idx,n_animals,n_drones,spread_std_x_m,spread_std_z_m,spread_std_m,forward_velocity_ms,orientation_entropy_std_deg
travelling,22,20,6,,,20.0,1.0,
travelling,23,20,6,,,20.0,1.5,
travelling,24,20,6,,,30.0,0.5,
travelling,25,20,6,,,30.0,1.0,
travelling,26,20,6,,,30.0,1.5,
travelling,27,30,2,,,10.0,0.5,
travelling,28,30,2,,,10.0,1.0,
travelling,29,30,2,,,10.0,1.5,
travelling,30,30,2,,,20.0,0.5,
travelling,31,30,2,,,20.0,1.0,
travelling,32,30,2,,,20.0,1.5,
travelling,33,30,2,,,30.0,0.5,
travelling,34,30,2,,,30.0,1.0,
travelling,35,30,2,,,30.0,1.5,
travelling,36,30,4,,,10.0,0.5,
travelling,37,30,4,,,10.0,1.0,
travelling,38,30,4,,,10.0,1.5,
travelling,39,30,4,,,20.0,0.5,
travelling,40,30,4,,,20.0,1.0,
travelling,41,30,4,,,20.0,1.5,
travelling,42,30,4,,,30.0,0.5,
travelling,43,30,4,,,30.0,1.0,
travelling,44,30,4,,,30.0,1.5,
travelling,45,30,6,,,10.0,0.5,
travelling,46,30,6,,,10.0,1.0,
travelling,47,30,6,,,10.0,1.5,
travelling,48,30,6,,,20.0,0.5,
travelling,49,30,6,,,20.0,1.0,
travelling,50,30,6,,,20.0,1.5,
travelling,51,30,6,,,30.0,0.5,
travelling,52,30,6,,,30.0,1.0,
travelling,53,30,6,,,30.0,1.5,
travelling,54,40,2,,,10.0,0.5,
travelling,55,40,2,,,10.0,1.0,
travelling,56,40,2,,,10.0,1.5,
travelling,57,40,2,,,20.0,0.5,
travelling,58,40,2,,,20.0,1.0,
travelling,59,40,2,,,20.0,1.5,
travelling,60,40,2,,,30.0,0.5,
travelling,61,40,2,,,30.0,1.0,
travelling,62,40,2,,,30.0,1.5,
travelling,63,40,4,,,10.0,0.5,
travelling,64,40,4,,,10.0,1.0,
travelling,65,40,4,,,10.0,1.5,
travelling,66,40,4,,,20.0,0.5,
travelling,67,40,4,,,20.0,1.0,
travelling,68,40,4,,,20.0,1.5,
travelling,69,40,4,,,30.0,0.5,
travelling,70,40,4,,,30.0,1.0,
travelling,71,40,4,,,30.0,1.5,
travelling,72,40,6,,,10.0,0.5,
travelling,73,40,6,,,10.0,1.0,
travelling,74,40,6,,,10.0,1.5,
travelling,75,40,6,,,20.0,0.5,
travelling,76,40,6,,,20.0,1.0,
travelling,77,40,6,,,20.0,1.5,
travelling,78,40,6,,,30.0,0.5,
travelling,79,40,6,,,30.0,1.0,
travelling,80,40,6,,,30.0,1.5,
travelling,81,60,2,,,10.0,0.5,
travelling,82,60,2,,,10.0,1.0,
travelling,83,60,2,,,10.0,1.5,
travelling,84,60,2,,,20.0,0.5,
travelling,85,60,2,,,20.0,1.0,
travelling,86,60,2,,,20.0,1.5,
travelling,87,60,2,,,30.0,0.5,
travelling,88,60,2,,,30.0,1.0,
travelling,89,60,2,,,30.0,1.5,
travelling,90,60,4,,,10.0,0.5,
travelling,91,60,4,,,10.0,1.0,
travelling,92,60,4,,,10.0,1.5,
travelling,93,60,4,,,20.0,0.5,
travelling,94,60,4,,,20.0,1.0,
travelling,95,60,4,,,20.0,1.5,
travelling,96,60,4,,,30.0,0.5,
travelling,97,60,4,,,30.0,1.0,
travelling,98,60,4,,,30.0,1.5,
travelling,99,60,6,,,10.0,0.5,
travelling,100,60,6,,,10.0,1.0,
travelling,101,60,6,,,10.0,1.5,
travelling,102,60,6,,,20.0,0.5,
travelling,103,60,6,,,20.0,1.0,
travelling,104,60,6,,,20.0,1.5,
travelling,105,60,6,,,30.0,0.5,
travelling,106,60,6,,,30.0,1.0,
travelling,107,60,6,,,30.0,1.5,
panic,0,20,2,,,10.0,1.0,45.0
panic,1,20,2,,,10.0,1.0,180.0
panic,2,20,2,,,10.0,1.0,360.0
panic,3,20,2,,,10.0,2.0,45.0
panic,4,20,2,,,10.0,2.0,180.0
panic,5,20,2,,,10.0,2.0,360.0
panic,6,20,2,,,10.0,4.0,45.0
panic,7,20,2,,,10.0,4.0,180.0
panic,8,20,2,,,10.0,4.0,360.0
panic,9,20,4,,,10.0,1.0,45.0
panic,10,20,4,,,10.0,1.0,180.0
panic,11,20,4,,,10.0,1.0,360.0
