run_id,behaviour,N_a,sigma,herd_idx,M,rep,min_sep,herd_seed,pso_seed,V1,V2,V3,minV,per_animal_min_mean,per_animal_min_p10,Omega,Delta,Lambda_dist,Lambda_idle,convergence_iter,poses,status,t_solve
grazing_N100_s100_h0_M3_r0_ms2.5,grazing,100,100.0,0,3,0,2.5,2072704986791287117,8859432678340375294,0.98,0.73,0.63,0.63,0.41,0.0,0.0343994317398481,0.0344239857701687,0.9992867173927916,1.0,99,"[[-174.72105407714844, 30.0, -35.589290618896484, 312.0922747473119, -27.632923023776637], [130.0169677734375, 45.0, -181.2332305908203, 225.3871158755134, -38.947505850310975], [-10.723187446594238, 60.0, 2.222012758255005, 10.900438250112561, -63.25869174539962]]",ok,22.599620580673218
grazing_N100_s100_h0_M3_r1_ms2.5,grazing,100,100.0,0,3,1,2.5,2072704986791287117,5906813737369299818,0.95,0.645625,0.54875,0.54875,0.364375,0.0,0.0327385870368019,0.0327387736870703,0.9999942988008598,1.0,100,"[[190.61924743652344, 30.0, -151.26351928710938, 193.3896242310298, -19.155895664750766], [-34.69375991821289, 45.0, -123.39067840576172, 0.0, -33.009313625043944], [4.368923187255859, 60.0, 44.86363983154297, 73.30263148779426, -49.599771412665945]]",ok,24.076218605041504
grazing_N100_s100_h0_M3_r2_ms2.5,grazing,100,100.0,0,3,2,2.5,2072704986791287117,1919041935168359990,0.97,0.5975,0.6275,0.5975,0.2875,0.0,0.0328671309777513,0.0328671309777513,1.0,1.0,99,"[[-198.02085876464844, 30.0, -12.464446067810059, 332.13724015527094, -25.92061172105866], [-166.7878875732422, 45.0, -49.65666961669922, 3.6815448857902626, -33.44972876258225], [53.69140625, 60.0, 30.757352828979492, 134.50475949724282, -51.179989174115725]]",ok,25.124536991119385
grazing_N100_s100_h0_M3_r3_ms2.5,grazing,100,100.0,0,3,3,2.5,2072704986791287117,7126967561318500427,0.9,0.556875,0.55625,0.55625,0.2575,0.0,0.0280265141719225,0.0282084834854023,0.993549128099212,1.0,100,"[[-191.299560546875, 30.0, -16.337814331054688, 333.1603410987304, -26.898820354931473], [-26.929506301879883, 45.0, 152.09255981445312, 268.4555424952759, -41.98938383703065], [50.49284744262695, 60.0, 18.395782470703125, 143.81584202784092, -57.838670553399716]]",ok,21.62846302986145
grazing_N100_s100_h0_M3_r4_ms2.5,grazing,100,100.0,0,3,4,2.5,2072704986791287117,5567038163291394373,0.99,0.746875,0.69875,0.69875,0.475625,0.0,0.0290584967973399,0.0290584967973399,1.0,1.0,100,"[[73.30850219726562, 30.0, -193.64930725097656, 242.47517196130448, -26.91147595434714], [146.73028564453125, 45.0, 174.92913818359375, 120.6553620648355, -23.77640285713351], [57.826881408691406, 60.0, -21.06296730041504, 202.13558642651134, -51.633641503055976]]",ok,21.437867164611816
grazing_N100_s100_h0_M4_r0_ms2.5,grazing,100,100.0,0,4,0,2.5,2072704986791287117,9109872549588277855,0.98,0.73,0.77,0.73,0.55,0.0,0.0470540447123436,0.0470540447123436,1.0,1.0,97,"[[117.73893737792969, 30.0, -190.66970825195312, 238.33179143522395, -23.90245587376551], [-178.8849639892578, 45.0, 75.88284301757812, 0.27730897589006165, -37.246451195662615], [8.415556907653809, 60.0, -51.79799270629883, 283.836963655672, -50.28732827358239], [48.1932258605957, 75.0, -106.51705169677734, 195.48310746178043, -63.60769681249538]]",ok,33.476317405700684
grazing_N100_s100_h0_M4_r1_ms2.5,grazing,100,100.0,0,4,1,2.5,2072704986791287117,3882894188244955506,0.99,0.6275,0.62,0.62,0.3075,0.0,0.0326527936469945,0.0326527936469945,1.0,1.0,99,"[[189.32803344726562, 30.0, -166.00473022460938, 145.30273404004603, -59.70749571391937], [-168.93838500976562, 45.0, 59.968265533447266, 344.6224972599223, -43.57399520774484], [45.457271575927734, 60.0, -17.30281639099121, 207.75890453795063, -63.55372650640261], [127.88026428222656, 75.0, -114.21533203125, 178.16458723873052, -50.588685001994314]]",ok,28.489299535751343
grazing_N100_s100_h0_M4_r2_ms2.5,grazing,100,100.0,0,4,2,2.5,2072704986791287117,5401761434575689401,0.94,0.73375,0.664375,0.664375,0.493125,0.0,0.0393559265337551,0.0393559265337551,1.0,1.0,99,"[[195.76145935058594, 30.0, 277.1872863769531, 100.07620216055106, -38.17629407278527], [-34.673343658447266, 45.0, -126.68971252441406, 328.43080260431947, -39.38406284302056], [5.381693363189697, 60.0, 70.82106018066406, 308.9325102828663, -62.92109769871314], [24.268939971923828, 75.0, -37.12111282348633, 262.47157938319674, -65.75974311351169]]",ok,32.25379681587219
grazing_N100_s100_h0_M4_r3_ms2.5,grazing,100,100.0,0,4,3,2.5,2072704986791287117,5232338013978782204,0.97,0.75,0.68,0.68,0.49,0.0,0.0444425781654175,0.0444425781654175,1.0,1.0,100,"[[130.60316467285156, 30.0, -194.1389617919922, 233.2384602219255, -24.596435524047134], [-161.6587677001953, 45.0, -132.4755401611328, 339.0436492106768, -32.82049368470545], [-31.98272132873535, 60.0, -138.28677368164062, 307.8974955631245, -49.78709806092611], [-32.541358947753906, 75.0, -4.479816913604736, 359.4262161802091, -55.6480229270774]]",ok,32.51641058921814
grazing_N100_s100_h0_M4_r4_ms2.5,grazing,100,100.0,0,4,4,2.5,2072704986791287117,927596151538410058,1.0,0.8,0.81,0.8,0.61,0.0,0.0349598888590918,0.0349598888590918,1.0,1.0,99,"[[-341.1976623535156, 30.0, 173.1154022216797, 15.369420985449693, -3.2036519284429197], [64.25060272216797, 45.0, 225.88821411132812, 84.55718809162998, -36.765609128258184], [38.27223205566406, 60.0, -40.95857620239258, 242.57228634764942, -54.93618249109482], [-7.889408111572266, 75.0, -122.52188873291016, 292.02070898059253, -72.23948944593047]]",ok,33.28818678855896
grazing_N100_s100_h0_M5_r0_ms2.5,grazing,100,100.0,0,5,0,2.5,2072704986791287117,6568841109045920337,1.0,0.74,0.656875,0.656875,0.41,0.0,0.0448425418517756,0.0448425418517756,1.0,1.0,100,"[[26.70406723022461, 30.0, -187.15106201171875, 290.1314897616376, -27.918758930612167], [443.5196533203125, 45.0, -248.01939392089844, 209.56516706720134, -24.95737632271616], [68.1220474243164, 60.0, 20.0447940826416, 154.3386190242239, -47.74434874127339], [33.426815032958984, 75.0, -72.22583770751953, 142.28387963565584, -59.99275035625825], [2.671750068664551, 90.0, 78.22626495361328, 323.04234031353445, -73.17440241560588]]",ok,39.445791721344
